1.0 0.0
0.9843 0.00317
0.9686 0.00629
0.95291 0.00935
0.93722 0.01235
0.92156 0.0153
0.90591 0.01819
0.89029 0.02104
0.8747 0.02383
0.85913 0.02657
0.8436 0.02926
0.82811 0.03189
0.81266 0.03448
0.79726 0.03702
0.7819 0.0395
0.76661 0.04194
0.75136 0.04433
0.73618 0.04666
0.72107 0.04894
0.70602 0.05118
0.69105 0.05336
0.67615 0.05548
0.66133 0.05756
0.6466 0.05958
0.63195 0.06155
0.61739 0.06346
0.60293 0.06531
0.58857 0.06711
0.5743 0.06885
0.56015 0.07054
0.5461 0.07216
0.53216 0.07372
0.51834 0.07522
0.50463 0.07666
0.49105 0.07803
0.4776 0.07934
0.46427 0.08058
0.45107 0.08176
0.43801 0.08287
0.42509 0.08391
0.41231 0.08488
0.39968 0.08578
0.38719 0.08661
0.37486 0.08737
0.36268 0.08805
0.35066 0.08867
0.33879 0.08921
0.32709 0.08967
0.31556 0.09006
0.30419 0.09038
0.293 0.09062
0.28198 0.09078
0.27114 0.09087
0.26047 0.09089
0.24999 0.09083
0.2397 0.09069
0.22959 0.09048
0.21967 0.0902
0.20995 0.08984
0.2019 0.08939
0.19247 0.08888
0.18316 0.08829
0.17396 0.0876
0.1649 0.0868
0.15598 0.08589
0.14721 0.08486
0.13861 0.0837
0.13019 0.08242
0.12196 0.081
0.11393 0.07946
0.10611 0.07778
0.09852 0.07597
0.09116 0.07404
0.08405 0.07199
0.07719 0.06982
0.07058 0.06755
0.06425 0.06517
0.05819 0.0627
0.05242 0.06014
0.04693 0.05751
0.04173 0.0548
0.03683 0.05205
0.03223 0.04924
0.02792 0.0464
0.02392 0.04353
0.02022 0.04064
0.01683 0.03774
0.01374 0.03485
0.01094 0.03196
0.00845 0.02908
0.00626 0.02623
0.00436 0.0234
0.00276 0.02061
0.00144 0.01786
0.00042 0.01516
-0.00033 0.0125
-0.0008 0.00989
-0.001 0.00734
-0.00093 0.00484
-0.00059 0.00239
0.0 0.0
0.00085 -0.00234
0.00194 -0.00458
0.00326 -0.00673
0.00482 -0.00878
0.00659 -0.01075
0.00859 -0.01263
0.01079 -0.01442
0.01321 -0.01614
0.01583 -0.01778
0.01865 -0.01935
0.02167 -0.02086
0.02488 -0.02231
0.02827 -0.0237
0.03185 -0.02504
0.03561 -0.02634
0.03956 -0.02759
0.04368 -0.02881
0.04797 -0.03
0.05245 -0.03116
0.0571 -0.03229
0.06193 -0.03341
0.06694 -0.03451
0.07213 -0.0356
0.0775 -0.03668
0.08306 -0.03775
0.08882 -0.03882
0.09477 -0.03989
0.10093 -0.04096
0.10729 -0.04203
0.11387 -0.0431
0.12067 -0.04417
0.1277 -0.04525
0.13497 -0.04632
0.14249 -0.04739
0.15026 -0.04846
0.15829 -0.04952
0.16659 -0.05056
0.17517 -0.05158
0.18403 -0.05257
0.19319 -0.05352
0.20414 -0.05443
0.21385 -0.05527
0.22375 -0.05604
0.23385 -0.05674
0.24415 -0.05737
0.25463 -0.05794
0.2653 -0.05843
0.27616 -0.05886
0.2872 -0.05922
0.29842 -0.05951
0.30982 -0.05973
0.32139 -0.05989
0.33313 -0.05997
0.34504 -0.05999
0.35711 -0.05994
0.36934 -0.05982
0.38174 -0.05963
0.39429 -0.05938
0.40699 -0.05906
0.41984 -0.05867
0.43284 -0.05822
0.44598 -0.05771
0.45926 -0.05713
0.47268 -0.05649
0.48623 -0.05579
0.49991 -0.05503
0.51371 -0.05421
0.52764 -0.05333
0.54169 -0.05239
0.55585 -0.0514
0.57012 -0.05035
0.5845 -0.04924
0.59899 -0.04808
0.61358 -0.04686
0.62826 -0.04559
0.64304 -0.04427
0.65791 -0.0429
0.67286 -0.04148
0.6879 -0.04
0.70302 -0.03848
0.71821 -0.03691
0.73347 -0.03528
0.7488 -0.03361
0.76419 -0.03189
0.77964 -0.03012
0.79515 -0.0283
0.81071 -0.02643
0.82631 -0.02451
0.84196 -0.02254
0.85765 -0.02053
0.87338 -0.01846
0.88914 -0.01634
0.90492 -0.01417
0.92073 -0.01194
0.93656 -0.00967
0.95241 -0.00734
0.96826 -0.00495
0.98413 -0.0025
1.0 -0.0
